Class_Name,Image,Target
n01443537,n01443537/sketch_0.JPEG,1
n01443537,n01443537/sketch_10.JPEG,1
n01443537,n01443537/sketch_11.JPEG,1
n01443537,n01443537/sketch_12.JPEG,1
n01443537,n01443537/sketch_13.JPEG,1
n01443537,n01443537/sketch_14.JPEG,1
n01443537,n01443537/sketch_15.JPEG,1
n01443537,n01443537/sketch_15_fixed.JPEG,1
n01443537,n01443537/sketch_16.JPEG,1
n01443537,n01443537/sketch_17.JPEG,1
n01443537,n01443537/sketch_19.JPEG,1
n01443537,n01443537/sketch_26.JPEG,1
n01443537,n01443537/sketch_27.JPEG,1
n01443537,n01443537/sketch_28.JPEG,1
n01443537,n01443537/sketch_3.JPEG,1
n01443537,n01443537/sketch_30.JPEG,1
n01443537,n01443537/sketch_34.JPEG,1
n01443537,n01443537/sketch_35.JPEG,1
n01443537,n01443537/sketch_36.JPEG,1
n01443537,n01443537/sketch_4.JPEG,1
n01443537,n01443537/sketch_40.JPEG,1
n01443537,n01443537/sketch_41.JPEG,1
n01443537,n01443537/sketch_42.JPEG,1
n01443537,n01443537/sketch_43.JPEG,1
n01443537,n01443537/sketch_44.JPEG,1
n01443537,n01443537/sketch_45.JPEG,1
n01443537,n01443537/sketch_49.JPEG,1
n01443537,n01443537/sketch_6.JPEG,1
n01443537,n01443537/sketch_7.JPEG,1
n01443537,n01443537/sketch_9.JPEG,1
n01443537,n01443537/sketch_06_ed.png,1
n01443537,n01443537/sketch_10_ed.png,1
n01443537,n01443537/sketch_12_ed_2.png,1
n01443537,n01443537/sketch_27_ed_02.png,1
n01443537,n01443537/sketch_7_ed_1.png,1
n01443537,n01443537/sketch_7_ed_2.png,1
n01443537,n01443537/sketch_12_ed_1.jpg,1
n01443537,n01443537/sketch_12_ed_3.jpg,1
n01443537,n01443537/sketch_17_ed.jpg,1
n01443537,n01443537/sketch_26_ed.jpg,1
n01443537,n01443537/sketch_27_ed_01.jpg,1
n01443537,n01443537/sketch_27_ed_03.jpg,1
n01443537,n01443537/sketch_27_ed_04.jpg,1
n01443537,n01443537/sketch_28_ed_1.jpg,1
n01443537,n01443537/sketch_28_ed_2.jpg,1
n01443537,n01443537/sketch_30_ed.jpg,1
n01443537,n01443537/sketch_34_ed.jpg,1
n01443537,n01443537/sketch_35_ed.jpg,1
n01443537,n01443537/sketch_40_ed.jpg,1
n01443537,n01443537/sketch_43_ed.jpg,1
n01443537,n01443537/sketch_45_ed.jpg,1
n01484850,n01484850/sketch_0.JPEG,2
n01484850,n01484850/sketch_10.JPEG,2
n01484850,n01484850/sketch_13.JPEG,2
n01484850,n01484850/sketch_19.JPEG,2
n01484850,n01484850/sketch_20.JPEG,2
n01484850,n01484850/sketch_21.JPEG,2
n01484850,n01484850/sketch_22.JPEG,2
n01484850,n01484850/sketch_26.JPEG,2
n01484850,n01484850/sketch_28.JPEG,2
n01484850,n01484850/sketch_29.JPEG,2
n01484850,n01484850/sketch_3.JPEG,2
n01484850,n01484850/sketch_30.JPEG,2
n01484850,n01484850/sketch_31.JPEG,2
n01484850,n01484850/sketch_34.JPEG,2
